Lexicon	Acc	Acc-Std	F1-Macro	F1-Macro-Std	F1-Weighted	F1-Weighted-Std	LT-Acc	LT-Acc-Std	LT-F1-Macro	LT-F1-Macro-Std	LT-F1-Weighted	LT-F1-Weighted-Std	MI-Acc	MI-Acc-Std	MI-F1-Macro	MI-F1-Macro-Std	MI-F1-Weighted	MI-F1-Weighted-Std	NA-Acc	NA-Acc-Std	NA-F1-Macro	NA-F1-Macro-Std	NA-F1-Weighted	NA-F1-Weighted-Std	RE-Acc	RE-Acc-Std	RE-F1-Macro	RE-F1-Macro-Std	RE-F1-Weighted	RE-F1-Weighted-Std	SM-Acc	SM-Acc-Std	SM-F1-Macro	SM-F1-Macro-Std	SM-F1-Weighted	SM-F1-Weighted-Std
01-Remus	58.82345890410964	11.799760273972613	60.09664383561644	9.853013698630129	64.35301369863018	9.873493150684931	54.694486301369885	5.736164383561642	57.4971575342466	5.088184931506849	59.6368835616439	4.723424657534245	55.53517123287668	11.394657534246576	58.325787671232945	9.30458904109588	60.6930821917808	8.122123287671226	61.754452054794555	15.294452054794522	60.58366438356165	21.610616438356157	69.81852739726031	9.699691780821912	70.5357534246575	7.367328767123288	65.98530821917815	3.591815068493149	73.21722602739732	7.170924657534244	51.306061643835626	8.715205479452058	57.13078767123289	7.690856164383557	58.42150684931504	8.836198630136998
02-Clematide	53.786438356164375	13.612054794520539	56.514931506849315	10.662773972602743	60.51308219178083	11.265821917808221	49.4356506849315	7.412226027397262	54.40969178082189	8.071678082191783	54.85520547945207	7.840582191780821	50.26976027397264	15.51352739726028	55.48900684931503	13.562534246575334	56.84969178082191	12.515273972602728	54.26636986301373	18.195719178082186	56.16705479452058	22.562602739726014	63.884315068493194	13.09147260273974	67.44986301369862	10.240000000000002	62.33431506849317	3.372568493150687	70.77982876712332	8.9432191780822	46.09462328767125	7.190034246575347	53.406506849315036	6.310856164383566	54.932979452054774	7.233253424657536
03-Võ	50.072054794520554	12.267808219178093	49.293458904109585	8.748698630136984	53.73893835616439	10.818184931506854	45.10037671232877	5.070479452054796	47.24705479452054	5.059623287671229	47.04619863013696	5.295171232876709	43.00808219178081	8.911780821917805	45.68404109589038	9.039931506849317	46.33503424657538	7.255650684931504	46.77780821917804	14.58962328767124	46.44753424657536	17.870582191780827	54.034109589041066	9.981301369863006	63.25301369863011	11.366301369863008	53.78756849315067	3.6682534246575345	64.14202054794515	11.528116438356157	46.753219178082226	8.632979452054796	49.799965753424665	6.9470890410958885	51.9705479452055	8.382773972602742
04-Emerson	64.92476027397264	7.66352739726028	62.002773972602796	7.884623287671228	66.8335616438356	7.395308219178085	61.69479452054791	5.197020547945205	60.404897260273984	5.494006849315068	62.87198630136987	4.5570547945205435	64.94082191780825	5.171095890410961	61.96260273972603	6.5956506849315035	66.38609589041091	4.730890410958903	67.44842465753428	9.062705479452058	61.01150684931507	17.192739726027405	71.9312328767123	5.366986301369861	69.37856164383564	7.102773972602737	64.10198630136989	4.780410958904108	70.84311643835618	7.978938356164384	61.55832191780823	5.958458904109591	61.56934931506847	6.013082191780823	63.14856164383559	5.5523972602739695
05-Siegel_p	44.451198630136986	8.55547945205479	46.82041095890412	6.638047945205481	50.94904109589045	8.603458904109592	40.464143835616426	5.8592465753424685	43.12695205479453	3.620753424657538	46.441095890410935	3.7076369863013685	49.064315068493165	8.968904109589035	51.650821917808244	9.507979452054792	55.57363013698627	7.783630136986306	45.26465753424658	7.874349315068499	44.03082191780824	5.864999999999996	54.259075342465756	11.840205479452058	49.25541095890407	6.260958904109587	48.424931506849326	4.612157534246577	53.200513698630175	7.742602739726023	39.72883561643836	5.394315068493157	46.30784246575341	4.217705479452052	47.35931506849314	5.114554794520548
06-Siegel_m	45.014520547945175	11.151678082191786	47.72092465753424	9.321267123287667	51.934075342465775	10.284315068493155	35.69952054794522	4.660547945205479	40.58284246575343	2.5283561643835606	41.73304794520547	3.274657534246575	50.09780821917808	17.972020547945224	54.18486301369864	18.314006849315053	56.677739726027376	16.510753424657555	43.28619863013698	4.853904109589037	43.66530821917808	9.546301369863023	53.04736301369865	6.569794520547945	54.64243150684933	7.22205479452055	52.03010273972604	3.813732876712326	59.14280821917806	8.116335616438352	39.97123287671233	5.450102739726027	46.495102739726	4.3482876712328755	48.09890410958906	4.860753424657535
07-Rill	49.58537671232878	17.401198630136975	51.41777397260272	12.486095890410954	54.91078767123289	15.08448630136987	36.153219178082196	6.205924657534249	42.171952054794524	5.266061643835615	40.6947602739726	5.964931506849315	38.39256849315067	7.9252739726027395	44.40832191780825	6.593458904109595	44.431678082191766	5.0540753424657545	45.87085616438357	20.00380136986301	47.615410958904114	20.788082191780823	54.27719178082192	15.663116438356143	72.3166095890411	11.055479452054797	65.0919863013698	5.920068493150692	73.58277397260275	10.042534246575327	44.81205479452058	8.694657534246579	50.05273972602736	7.452636986301379	52.015753424657554	9.183630136986306
08-Takamura-c	59.90595890410953	8.090958904109584	56.315102739726036	7.630821917808226	61.441815068493135	7.274760273972606	55.150958904109594	3.8717808219178087	54.62414383561644	3.8960958904109586	56.15527397260275	3.4861301369863	57.898801369863016	6.151952054794524	56.21750000000001	7.327054794520549	59.567328767123314	4.998801369863015	58.461678082191796	12.621301369863023	53.57253424657538	17.63921232876712	63.13883561643836	5.747191780821921	66.01263698630136	6.885239726027398	57.37640410958902	3.4208904109589056	66.71270547945204	8.605205479452058	58.922602739726045	6.399006849315068	57.696575342465785	5.768047945205482	59.78297945205481	6.024965753424662
