Corpus	Config	Acc	Acc-Std	F1-Macro	F1-Macro-Std	F1-Weighted	F1-Weighted-Std
NA02-Ploch	ss_ss-n-v	70.41	13.55	68.42	11.71	71.36	12.51
NA02-Ploch	ss_ss-e-l-v-s	69.73	11.39	68.38	9.86	71.57	9.4
NA02-Ploch	ss_ss-e-v-s	69.73	11.39	68.38	9.86	71.57	9.4
NA02-Ploch	ss_ss-l-v-s	69.73	11.39	68.38	9.86	71.57	9.4
NA02-Ploch	ss_ss-v-s	69.73	11.39	68.38	9.86	71.57	9.4
NA02-Ploch	ss_ss-s-v	69.73	11.39	68.38	9.86	71.57	9.4
NA02-Ploch	li-ps_li-ps-t-v	67.2	14.73	68.23	13.02	71.19	13.11
NA02-Ploch	lt_lt-l-t-v-s	67.43	10.71	68.2	8.6	71.53	8.45
NA02-Ploch	lt_lt-e-l-s-t-v	67.43	10.71	68.2	8.6	71.53	8.45
NA02-Ploch	lt_lt-l-n-s-t-v	67.43	10.71	68.2	8.6	71.53	8.45
NA02-Ploch	lt_lt-e-l-n-t-s-v	67.43	10.71	68.2	8.6	71.53	8.45
MI01-Clematide	lt_r-e-l-s-t-v	66.76	7.61	68.17	7.27	68.74	7.67
MI01-Clematide	lt_r-l-n-s-t-v	66.76	7.61	68.17	7.27	68.74	7.67
MI01-Clematide	lt_r-e-l-n-t-s-v	66.76	7.61	68.17	7.27	68.74	7.67
NA02-Ploch	lt-pt_lt-pt-s-v	67.09	10.42	68.14	8.07	71.13	8.24
NA02-Ploch	li_li-e-l-t-v	67.89	14.28	68.11	12.04	71.3	12.33
NA02-Ploch	li_li-n-l-t-v	67.89	14.28	68.11	12.04	71.3	12.33
NA02-Ploch	li_li-l-t-v	67.89	14.28	68.11	12.04	71.3	12.33
NA02-Ploch	li_li-e-l-n-t-v	67.89	14.28	68.11	12.04	71.3	12.33
NA02-Ploch	li_li-e-l-v-s	67.55	11.39	68.1	8.98	71.2	9.03
NA02-Ploch	li_li-l-v-s	67.55	11.39	68.1	8.98	71.2	9.03
NA02-Ploch	li-ps_li-ps-e-l-n-t-v	67.2	14.4	68.1	12.39	71.1	12.62
NA02-Ploch	lt_r-t-v	65.83	13.87	68.03	11.32	70.83	11.64
MI01-Clematide	lt-pt_lt-pt-s-v	66.55	12.31	68.03	12.52	68.46	12.88
MI01-Clematide	lt_lt-e-n-l-v	67.6	8.82	68.02	8.22	68.84	8.88
NA02-Ploch	li_li-e-n-t-v	67.2	14.26	68.02	12.43	70.95	12.66
NA02-Ploch	li_li-e-t-v	67.2	14.26	68.02	12.43	70.95	12.66
MI01-Clematide	lt_lt-n-l-v	67.6	8.82	68.02	8.22	68.84	8.88
NA02-Ploch	li_li-n-t-v	67.2	14.26	68.02	12.43	70.95	12.66
NA02-Ploch	li_li-t-v	67.2	14.26	68.02	12.43	70.95	12.66
NA02-Ploch	li_li-t-v	67.2	14.26	68.02	12.43	70.95	12.66
NA02-Ploch	li_r-e-l-n-t-v	66.63	13.99	67.96	10.95	70.94	11.27
MI01-Clematide	lt_lt-e-l-t-v	67.25	8.51	67.92	7.6	68.7	8.3
MI01-Clematide	lt_lt-n-l-t-v	67.25	8.51	67.92	7.6	68.7	8.3
