Corpus	Config	Acc	Acc-Std	F1-Macro	F1-Macro-Std	F1-Weighted	F1-Weighted-Std
MI01-Clematide	li_r-l-n-s-t	52.43	9.44	59	8.51	58.93	8.97
MI01-Clematide	li_r-e-l-n-t-s	52.43	9.44	59	8.51	58.93	8.97
RE05-Prettenhofer	ss_ss-n-l-t	61.22	4.33	58.99	5.82	59.83	5.63
RE02-Sänger	ss_ss-n-l-s	55.98	8.58	58.99	6.5	63.78	7.11
RE04-Guhr	li_li-n-t-s	61.8	6.28	58.99	4.9	65.36	5.42
NA01-Bütow	li_li-e-v	54.25	10.96	58.99	9.41	58.54	9.6
RE05-Prettenhofer	ss_ss-n-t	61.22	4.33	58.99	5.82	59.83	5.63
RE02-Sänger	ss_ss-n-s	55.98	8.58	58.99	6.5	63.78	7.11
RE05-Prettenhofer	ss_ss-l-t	61.22	4.33	58.99	5.82	59.83	5.63
RE02-Sänger	sc_sc-l-s	56.78	9.19	58.99	8.43	63.97	8.24
RE04-Guhr	li_li-t-s	61.8	6.28	58.99	4.9	65.36	5.42
NA01-Bütow	li_li-e-v	54.25	10.96	58.99	9.41	58.54	9.6
RE05-Prettenhofer	ss_ss-t	61.22	4.33	58.99	5.82	59.83	5.63
RE02-Sänger	sc_sc-s	56.78	9.19	58.99	8.43	63.97	8.24
RE02-Sänger	lt_lt-l	56.37	10.25	58.99	9.92	63.54	9.38
RE04-Guhr	ss-ps_ss-ps-e-l-n-s-v	63.6	8.68	58.99	6.49	65.07	7.66
NA01-Bütow	li_r-e-l-n-t-v	53.52	12.36	58.99	10.14	58.66	10.19
RE04-Guhr	ss_ss-n-l-v-s	64.79	9.56	58.98	6.77	65.38	8.38
RE04-Guhr	ss_ss-n-v-s	64.79	9.56	58.98	6.77	65.38	8.38
NA01-Bütow	sc_sc-l-v	56.04	8.24	58.98	7.3	58.52	7.54
NA01-Bütow	sc_sc-v	56.04	8.24	58.98	7.3	58.52	7.54
NA01-Bütow	sc_sc-l-v	56.04	8.24	58.98	7.3	58.52	7.54
RE05-Prettenhofer	li_li-e-n-s	58.25	4.42	58.97	4.43	59.68	4.43
SM01-Cieliebak	lt-pt_lt-pt-e-n-s-t-v	53.81	6.91	58.97	5.02	60.68	4.87
NA01-Bütow	lt_lt-n-l-t-v	55.15	7.61	58.96	6.95	58.9	6.96
NA01-Bütow	lt_lt-l-t-v	55.15	7.61	58.96	6.95	58.9	6.96
RE01-Klinger	lt-pt_lt-pt-s	75.48	10.57	58.96	8.68	80.62	7.65
NA01-Bütow	sc-ps_sc-ps-e-l-n-s-v	52.66	11.3	58.96	8.78	58.46	8.96
RE04-Guhr	sc_sc-n-l-t-s	62.69	5.32	58.95	4.23	65.71	4.49
SM04-Mozetič	lt_lt-e-v-s	53.79	9.05	58.95	6.3	60.42	6.04
RE04-Guhr	sc_sc-n-t-s	62.69	5.32	58.95	4.23	65.71	4.49
RE04-Guhr	sc_sc-l-t-s	62.69	5.32	58.95	4.23	65.71	4.49
RE05-Prettenhofer	ss_ss-l-v-s	63.05	7.24	58.95	10.18	59.56	9.89
SM03-Narr	li_li-e-s	53.03	5.41	58.95	4.89	61.19	4.66
RE02-Sänger	li_li-l-s	55.49	11.16	58.95	9.56	63.42	9.77
RE04-Guhr	sc_sc-t-s	62.69	5.32	58.95	4.23	65.71	4.49
RE05-Prettenhofer	ss_ss-v-s	63.05	7.24	58.95	10.18	59.56	9.89
RE02-Sänger	lt_r-t	54.42	9.93	58.95	7.59	63.02	8.36
RE05-Prettenhofer	ss_ss-s-v	63.05	7.24	58.95	10.18	59.56	9.89
RE05-Prettenhofer	pt_pt-e-l-n-t	58.47	4.72	58.95	5.89	59.69	5.64
SM06-Momtazi	li-pt_li-pt-e-l-n-t-v	56.34	7.74	58.95	5.9	60.44	5.97
RE04-Guhr	sc_sc-l-n-s-t	62.69	5.32	58.95	4.23	65.71	4.49
RE05-Prettenhofer	sc_sc-l-v-s	62.75	6.51	58.94	9.56	59.6	9.15
RE05-Prettenhofer	sc_sc-v-s	62.75	6.51	58.94	9.56	59.6	9.15
RE05-Prettenhofer	sc_sc-s-v	62.75	6.51	58.94	9.56	59.6	9.15
RE02-Sänger	li_r-e-l-n-s	55.44	9.72	58.94	7.32	63.61	8.02
SM06-Momtazi	ss-pt_ss-pt-e-l-n-t-v	55.94	8.03	58.94	6.29	60.38	6.36
RE01-Klinger	sc_sc-e-l-v-s	79.88	14.32	58.93	9.23	82.15	10.43
RE01-Klinger	sc_sc-e-v-s	79.88	14.32	58.93	9.23	82.15	10.43
RE05-Prettenhofer	li_li-n-l-s	58.22	4.12	58.93	4.19	59.65	4.18
RE05-Prettenhofer	ss-pt_ss-pt-v	62.44	7.28	58.93	9.78	59.44	10.03
NA01-Bütow	sc-pt_sc-pt-e-v	53.44	11.39	58.93	8.97	58.47	9.23
RE05-Prettenhofer	ss-pt_ss-pt-l-v	62.44	7.28	58.93	9.78	59.44	10.03
RE05-Prettenhofer	ss_ss-e-n-l-s	59.02	3.75	58.92	3.68	59.73	3.65
RE05-Prettenhofer	ss_ss-e-n-s	59.02	3.75	58.92	3.68	59.73	3.65
RE05-Prettenhofer	ss_ss-e-l-n-s	59.02	3.75	58.92	3.68	59.73	3.65
RE02-Sänger	sc-ps_sc-ps-l-n-s-t-v	55.89	9.4	58.92	7.62	62.68	7.98
RE01-Klinger	ss_ss-n-l-t-v	80.85	12.78	58.91	8.52	82.93	9.42
RE01-Klinger	ss_ss-n-t-v	80.85	12.78	58.91	8.52	82.93	9.42
RE01-Klinger	ss_ss-l-t-v	80.85	12.78	58.91	8.52	82.93	9.42
RE01-Klinger	ss_ss-t-v	80.85	12.78	58.91	8.52	82.93	9.42
NA01-Bütow	li_li-v	54.17	10.97	58.91	9.41	58.48	9.6
NA01-Bütow	sc-pt_sc-pt-v	53.41	11.4	58.91	8.98	58.46	9.24
RE01-Klinger	sc-ps_sc-ps-e	76.1	8.43	58.91	7.47	81.2	5.91
RE01-Klinger	lt-ps_lt-ps-n-v	77.3	11.72	58.91	8.22	81.07	8.61
RE01-Klinger	ss_ss-t-v	80.85	12.78	58.91	8.52	82.93	9.42
NA01-Bütow	sc-pt_sc-pt-l-v	53.41	11.4	58.91	8.98	58.46	9.24
MI01-Clematide	li-pt_li-pt-e-l-n-t	52.75	9.86	58.91	9.35	58.73	9.87
RE05-Prettenhofer	lt-ps_lt-ps-e-l-n-t	59.93	4.72	58.91	6.46	59.73	6.21
SM03-Narr	ss_ss-e-t-v-s	56.54	7.71	58.9	5.07	60.86	5.14
SM03-Narr	ss_ss-e-l-s-t-v	56.54	7.71	58.9	5.07	60.86	5.14
SM03-Narr	ss_ss-e-n-s-t-v	56.54	7.71	58.9	5.07	60.86	5.14
SM03-Narr	ss_ss-e-l-n-t-s-v	56.54	7.71	58.9	5.07	60.86	5.14
MI01-Clematide	ss_ss-e-n-l-t	53.95	8.22	58.89	7.95	58.37	8.87
RE01-Klinger	ss_ss-e-n-t-v	81.09	12.42	58.89	8.11	83.09	9.1
RE01-Klinger	ss_ss-e-l-t-v	81.09	12.42	58.89	8.11	83.09	9.1
MI01-Clematide	ss_ss-e-n-t	53.95	8.22	58.89	7.95	58.37	8.87
MI01-Clematide	ss_ss-e-l-t	53.95	8.22	58.89	7.95	58.37	8.87
RE01-Klinger	ss_ss-e-t-v	81.09	12.42	58.89	8.11	83.09	9.1
MI01-Clematide	ss_ss-n-l-t	53.95	8.22	58.89	7.95	58.37	8.87
MI01-Clematide	ss_ss-e-t	53.95	8.22	58.89	7.95	58.37	8.87
MI01-Clematide	ss_ss-n-t	53.95	8.22	58.89	7.95	58.37	8.87
MI01-Clematide	ss_ss-l-t	53.95	8.22	58.89	7.95	58.37	8.87
RE01-Klinger	ss-pt_ss-pt-v	79.11	15.58	58.89	10.89	81.58	12.59
MI01-Clematide	ss_ss-t	53.95	8.22	58.89	7.95	58.37	8.87
RE04-Guhr	pt_pt-t-v	62.05	8.96	58.89	7.19	64.69	7.86
RE01-Klinger	ss-pt_ss-pt-l-v	79.11	15.58	58.89	10.89	81.58	12.59
MI01-Clematide	ss_ss-e-l-n-t	53.95	8.22	58.89	7.95	58.37	8.87
RE01-Klinger	lt-ps_lt-ps-e-l-n-t	77.17	11.66	58.89	9.69	81.42	9.34
SM02-Sidarenka	r_r-e-l-n-t-v	56.36	7.42	58.89	3.87	61.86	4.6
RE01-Klinger	ss_ss-e-l-n-t-v	81.09	12.42	58.89	8.11	83.09	9.1
MI01-Clematide	r_r-l-v	53.91	14.36	58.88	9.29	59.51	10.33
SM02-Sidarenka	sc-ps_sc-ps-e-l-s-t-v	59.04	7.25	58.88	5.18	64.43	4.59
SM02-Sidarenka	sc-ps_sc-ps-e-n-s-t-v	59.04	7.25	58.88	5.18	64.43	4.59
SM02-Sidarenka	sc-ps_sc-ps-e-l-n-t-s-v	59.04	7.25	58.88	5.18	64.43	4.59
RE01-Klinger	lt-pt_lt-pt-t-v	79.43	11.92	58.87	9.44	82.23	9.07
NA01-Bütow	li-pt_li-pt-s-v	53.16	12.38	58.87	10.19	58.41	10.25
RE04-Guhr	c_r-e-l-n-t	63.36	8.33	58.87	6.87	65.72	7.43
MI01-Clematide	li-ps_li-ps-e-l-n-t	52.66	9.62	58.87	9.17	58.65	9.69
SM03-Narr	sc-pt_sc-pt-e-l-s-t-v	55.15	8.63	58.87	6.19	60.82	6.03
SM03-Narr	sc-pt_sc-pt-e-n-s-t-v	55.15	8.63	58.87	6.19	60.82	6.03
SM03-Narr	sc-pt_sc-pt-e-l-n-t-s-v	55.15	8.63	58.87	6.19	60.82	6.03
SM06-Momtazi	ss_ss-e-n-t-v	58.39	6.97	58.86	5.44	60.56	5.91
SM06-Momtazi	ss_ss-e-l-t-v	58.39	6.97	58.86	5.44	60.56	5.91
SM06-Momtazi	ss_ss-e-t-v	58.39	6.97	58.86	5.44	60.56	5.91
RE05-Prettenhofer	li_li-n-s	58.1	4.49	58.86	4.48	59.56	4.49
RE01-Klinger	lt-ps_lt-ps-v	78.04	13.06	58.86	8.44	81.26	9.51
NA01-Bütow	lt-pt_lt-pt-l-v	54.39	10.88	58.86	9.27	58.42	9.55
SM06-Momtazi	ss_ss-e-l-n-t-v	58.39	6.97	58.86	5.44	60.56	5.91
NA01-Bütow	sc-pt_sc-pt-e-l-s-t-v	52.35	11.56	58.86	9.08	58.37	9.19
NA01-Bütow	sc-pt_sc-pt-e-n-s-t-v	52.35	11.56	58.86	9.08	58.37	9.19
NA01-Bütow	sc-pt_sc-pt-e-l-n-t-s-v	52.35	11.56	58.86	9.08	58.37	9.19
NA01-Bütow	lt_lt-e-n-l-v	55.28	7.56	58.85	7	58.81	6.95
RE04-Guhr	sc_sc-n-l-v-s	64.59	8.89	58.85	6.34	65.33	7.67
RE05-Prettenhofer	ss_ss-n-l-s	58.9	3.8	58.85	3.71	59.65	3.69
RE04-Guhr	sc_sc-n-v-s	64.59	8.89	58.85	6.34	65.33	7.67
RE05-Prettenhofer	ss_ss-n-s	58.9	3.8	58.85	3.71	59.65	3.69
RE05-Prettenhofer	lt-ps_lt-ps-t	59.72	4.79	58.85	6.43	59.65	6.21
RE04-Guhr	c_r-l-n-s-t-v	63.34	8.07	58.85	6.21	65.06	6.84
RE04-Guhr	ss_ss-l-v-s	67.07	11.83	58.84	9.38	65.88	10.63
RE04-Guhr	li_li-n-v	64.69	10.61	58.84	8.21	65.03	9.67
RE04-Guhr	ss_ss-v-s	67.07	11.83	58.84	9.38	65.88	10.63
RE05-Prettenhofer	ps_ps-v	59.14	6.49	58.84	6.22	59.19	6.19
RE02-Sänger	lt_lt-n	54.61	9.27	58.84	7.41	62.79	8.04
RE04-Guhr	li_li-n-v	64.69	10.61	58.84	8.21	65.03	9.67
RE05-Prettenhofer	li_r-s	59.06	5.05	58.84	6.24	59.66	5.99
RE04-Guhr	ss_ss-s-v	67.07	11.83	58.84	9.38	65.88	10.63
RE05-Prettenhofer	c_r-l-v	61.8	6.94	58.84	9.94	59.36	9.51
RE02-Sänger	li_li-e-n-t-s	54.21	9.62	58.83	7.34	62.84	8.1
SM06-Momtazi	ss_ss-n-t-v-s	56.29	8.24	58.83	6.39	60.06	6.61
SM06-Momtazi	ss_ss-l-t-v-s	56.29	8.24	58.83	6.39	60.06	6.61
RE02-Sänger	li_li-e-t-s	54.21	9.62	58.83	7.34	62.84	8.1
SM06-Momtazi	ss_ss-t-v-s	56.29	8.24	58.83	6.39	60.06	6.61
RE01-Klinger	sc-pt_sc-pt-t	75.97	9.17	58.83	7.36	80.97	6.51
RE01-Klinger	ps_ps-l	75.46	10.61	58.83	8.75	80.76	7.23
RE05-Prettenhofer	ss-pt_ss-pt-e-l-n-s	57.46	4.37	58.83	4.16	59.51	4.17
RE01-Klinger	li-ps_li-ps-e-l-n-t	76.03	12.73	58.83	9.59	80.57	10.12
RE01-Klinger	ps_ps-e-l-n-t-v	76.84	9.51	58.83	7.15	81.18	6.64
RE05-Prettenhofer	r_r-e-l-s-t-v	58.96	5.77	58.83	5.5	59.31	5.5
RE02-Sänger	li_li-e-n-s-t	54.21	9.62	58.83	7.34	62.84	8.1
SM06-Momtazi	ss_ss-l-n-s-t-v	56.29	8.24	58.83	6.39	60.06	6.61
NA01-Bütow	sc-pt_sc-pt-l-n-s-t-v	52.32	11.58	58.83	9.08	58.35	9.19
RE05-Prettenhofer	r_r-e-l-n-t-s-v	58.96	5.77	58.83	5.5	59.31	5.5
SM06-Momtazi	li_li-e-l-t-v	56.74	7.67	58.82	5.79	60.37	5.93
RE02-Sänger	li_li-e-n	54.87	9	58.82	6.95	63.04	7.68
RE04-Guhr	lt_lt-n-t	63.52	9.07	58.82	7.57	65.17	9.01
MI01-Clematide	ss_r-v	56.01	13.9	58.82	13.01	58.9	14.09
MI01-Clematide	ss_r-e-v	56.01	13.9	58.82	13.01	58.9	14.09
RE04-Guhr	lt_lt-t	63.52	9.07	58.82	7.57	65.17	9.01
RE04-Guhr	lt-ps_lt-ps-t	64.3	7.99	58.82	6.8	66.18	7.64
SM06-Momtazi	li_li-e-l-n-t-v	56.74	7.67	58.82	5.79	60.37	5.93
RE05-Prettenhofer	ss_r-l-n-s-t-v	59.29	5.24	58.82	4.79	59.23	4.99
SM06-Momtazi	sc_sc-e-l-v	58.64	8.05	58.81	6.25	60.44	6.73
RE04-Guhr	sc_sc-n-l-v	65.3	11.29	58.81	8.23	65.17	10.29
SM06-Momtazi	sc_sc-e-v	58.64	8.05	58.81	6.25	60.44	6.73
RE04-Guhr	sc_sc-n-v	65.3	11.29	58.81	8.23	65.17	10.29
SM06-Momtazi	sc_sc-e-v	58.64	8.05	58.81	6.25	60.44	6.73
NA01-Bütow	sc-ps_sc-ps-e-v	53.18	12.23	58.81	9.7	58.33	10.03
RE04-Guhr	sc_sc-n-v	65.3	11.29	58.81	8.23	65.17	10.29
RE05-Prettenhofer	li_r-l-v	62.33	7.13	58.81	10.31	59.36	9.84
MI01-Clematide	li_li-e-l-s	52.63	11.41	58.8	10.79	58.44	11.29
NA01-Bütow	lt_lt-n-l-v	55.22	7.61	58.8	7.03	58.77	6.98
MI01-Clematide	li_li-l-s	52.63	11.41	58.8	10.79	58.44	11.29
SM06-Momtazi	lt_lt-e-l-v-s	57.76	8.57	58.79	7.59	60.61	7.49
NA01-Bütow	sc-ps_sc-ps-v	53.15	12.25	58.79	9.7	58.31	10.03
RE01-Klinger	lt-ps_lt-ps-e	77.54	12.41	58.79	10.11	81.47	10.02
NA01-Bütow	sc-ps_sc-ps-l-v	53.15	12.25	58.79	9.7	58.31	10.03
RE02-Sänger	c_r-e-l-n-t	55.19	11.54	58.79	9.03	63.36	9.62
MI01-Clematide	lt_lt-e-n-t-s	52.37	10.11	58.78	9.46	58.61	10.07
MI01-Clematide	lt_lt-e-t-s	52.37	10.11	58.78	9.46	58.61	10.07
MI01-Clematide	lt_lt-n-t-s	52.37	10.11	58.78	9.46	58.61	10.07
MI01-Clematide	lt_lt-t-s	52.37	10.11	58.78	9.46	58.61	10.07
NA01-Bütow	lt-pt_lt-pt-e-v	54.29	10.72	58.78	9.17	58.33	9.44
RE01-Klinger	li-ps_li-ps-t-v	78.46	11.48	58.78	9.03	81.79	8.3
RE04-Guhr	c_r-s-v	62.57	9.81	58.78	7.48	64.65	8.61
MI01-Clematide	lt_lt-e-n-s-t	52.37	10.11	58.78	9.46	58.61	10.07
RE01-Klinger	ss_ss-e-l	79.8	12.43	58.77	9.59	82.67	9.85
MI01-Clematide	lt_lt-e-l	54.22	11.34	58.77	10.5	58.66	11.56
RE05-Prettenhofer	pt_pt-v	59.36	6.58	58.77	6.47	59.15	6.48
RE01-Klinger	ss_ss-e	79.8	12.43	58.77	9.59	82.67	9.85
MI01-Clematide	li-pt_li-pt-t	52.48	10.23	58.77	9.67	58.56	10.23
MI01-Clematide	lt_lt-l	54.22	11.34	58.77	10.5	58.66	11.56
RE02-Sänger	ss-ps_ss-ps-l-n-s-t-v	55.74	9.96	58.77	7.84	62.77	8.21
RE01-Klinger	sc-pt_sc-pt-e-v	78.26	13.25	58.76	9.35	81.35	10.11
NA01-Bütow	li-ps_li-ps-l-v	53.82	11.32	58.76	9.64	58.27	9.76
RE05-Prettenhofer	sc-pt_sc-pt-e-l-n-s	57.41	4.29	58.76	4.24	59.44	4.22
SM02-Sidarenka	ss-pt_ss-pt-e-l-s-t-v	59	7.82	58.76	5.29	64.41	4.87
SM02-Sidarenka	ss-pt_ss-pt-e-n-s-t-v	59	7.82	58.76	5.29	64.41	4.87
SM02-Sidarenka	ss-pt_ss-pt-e-l-n-t-s-v	59	7.82	58.76	5.29	64.41	4.87
RE05-Prettenhofer	c_r-v	59.36	6.75	58.75	6.58	59.02	6.7
NA01-Bütow	li-ps_li-ps-e-v	53.81	11.49	58.75	9.87	58.24	10.01
RE04-Guhr	li_r-n-v	63.25	11.26	58.75	8.7	64.25	10.42
RE04-Guhr	c_r-e-l-n-s-v	63.73	7.97	58.75	5.9	65.17	6.73
RE05-Prettenhofer	pt_pt-e-l-s-t	56.31	4.76	58.75	4.29	59.34	4.26
RE05-Prettenhofer	pt_pt-e-l-n-t-s	56.31	4.76	58.75	4.29	59.34	4.26
RE05-Prettenhofer	li_r-n	58.52	4.75	58.74	5.84	59.44	5.67
NA01-Bütow	lt-ps_lt-ps-l-v	53.44	11.55	58.74	9.41	58.24	9.79
RE01-Klinger	lt-ps_lt-ps-l-v	78.06	13.1	58.74	8.43	81.25	9.52
SM02-Sidarenka	ss-pt_ss-pt-e-l-n-s-v	59.16	7.83	58.74	5.26	64.43	4.88
NA01-Bütow	lt-pt_lt-pt-v	54.23	10.76	58.73	9.2	58.29	9.47
RE01-Klinger	li-pt_li-pt-e-v	79.14	13.8	58.73	9.33	81.76	10.12
RE05-Prettenhofer	lt-pt_lt-pt-e-l-n-s	57.65	4.07	58.73	3.98	59.43	3.97
SM03-Narr	ss-ps_ss-ps-e-l-n-s-v	54.53	8.54	58.73	5.74	60.64	5.67
SM06-Momtazi	lt_lt-e-t-v-s	55.81	7.34	58.72	5.79	60.02	5.84
RE04-Guhr	lt-pt_lt-pt-e-n-s-t	61.36	6.06	58.72	4.59	65.12	5.11
SM06-Momtazi	lt_lt-e-n-s-t-v	55.81	7.34	58.72	5.79	60.02	5.84
RE02-Sänger	lt_lt-n-t-s	53.78	10.66	58.71	8.25	62.41	9.25
RE02-Sänger	lt_lt-t-s	53.78	10.66	58.71	8.25	62.41	9.25
RE02-Sänger	lt_lt-s	54.49	11.41	58.71	9.98	62.82	10.25
RE01-Klinger	sc_r-s-v	75.61	11.5	58.71	8.32	80.38	8.54
RE04-Guhr	c_r-t-v	61.81	9.22	58.7	7.48	64.32	8.21
RE05-Prettenhofer	ss_r-t-v	59.57	4.42	58.7	4.5	59.18	4.55
SM01-Cieliebak	li-pt_li-pt-e-l-n-t-v	53.85	7.63	58.7	5.28	60.44	5.34
SM06-Momtazi	li_li-e-n-t-v	56.13	6.74	58.69	5.02	60.09	5.16
SM06-Momtazi	li_li-e-t-v	56.13	6.74	58.69	5.02	60.09	5.16
SM03-Narr	sc_sc-l-v	55.22	8.3	58.69	6.03	59.73	6.39
SM03-Narr	sc_sc-v	55.22	8.3	58.69	6.03	59.73	6.39
NA01-Bütow	li-ps_li-ps-v	53.75	11.54	58.69	9.9	58.19	10.04
RE04-Guhr	sc-pt_sc-pt-n	61.84	6.82	58.69	5.59	65.31	6.18
MI01-Clematide	li-ps_li-ps-t	52.37	9.92	58.69	9.44	58.46	10
SM03-Narr	sc_sc-l-v	55.22	8.3	58.69	6.03	59.73	6.39
RE02-Sänger	lt_lt-e-n-s	54.48	9.74	58.68	7.38	62.86	8.27
RE04-Guhr	li-ps_li-ps-t	63.22	8.68	58.68	6.89	65.42	8.34
RE01-Klinger	li_r-s-v	76.78	13.66	58.68	10.79	80.56	10.16
RE01-Klinger	li_li-e-n	74.92	11.29	58.67	8.82	80.22	8.59
SM06-Momtazi	lt_lt-e-l-s-t-v	55.92	7.24	58.67	5.72	60	5.77
RE02-Sänger	lt_r-e-n-s-t	53.96	9.9	58.67	7.47	62.85	8.28
SM06-Momtazi	lt_lt-e-l-n-t-s-v	55.92	7.24	58.67	5.72	60	5.77
SM01-Cieliebak	li_li-e-n-v	54.12	6.86	58.66	4.78	60.34	4.87
NA01-Bütow	li_r-l-v	53.81	12.1	58.66	9.99	58.28	10.1
NA01-Bütow	li-pt_li-pt-l-v	53.73	11.49	58.66	9.85	58.17	9.96
RE01-Klinger	li-pt_li-pt-e-l-n-t	76.05	12.79	58.66	9.89	80.54	10.27
RE04-Guhr	lt-pt_lt-pt-e-l-s-t	61.29	6	58.66	4.53	65.06	5.04
RE04-Guhr	lt-pt_lt-pt-e-l-n-t-s	61.29	6	58.66	4.53	65.06	5.04
SM04-Mozetič	li_li-e-l-v-s	53.5	10.12	58.65	6.93	60.03	6.89
NA01-Bütow	li-pt_li-pt-e-v	53.69	11.6	58.65	9.97	58.14	10.1
NA01-Bütow	lt-ps_lt-ps-e-v	53.27	11.44	58.65	9.3	58.13	9.68
RE04-Guhr	lt-pt_lt-pt-n-v	65.57	11.31	58.65	9.14	65.16	11.65
RE01-Klinger	lt-ps_lt-ps-t	76.64	12.2	58.65	9.97	80.99	9.92
SM01-Cieliebak	li_li-e-n-t-v	53.99	7.13	58.63	5	60.33	5.06
SM01-Cieliebak	li_li-e-t-v	53.99	7.13	58.63	5	60.33	5.06
RE02-Sänger	li_li-n-t	54.16	9.84	58.63	7.61	62.49	8.45
RE02-Sänger	li_li-t	54.16	9.84	58.63	7.61	62.49	8.45
RE05-Prettenhofer	ss_r-e-n-s-t-v	59.05	4.84	58.63	4.43	59.09	4.63
RE04-Guhr	lt_r-v	64.79	12.28	58.62	9.37	64.59	11.45
SM03-Narr	sc_sc-e-n-l	53.52	4.81	58.61	4.68	60.36	4.51
SM03-Narr	sc_sc-e-n	53.52	4.81	58.61	4.68	60.36	4.51
RE01-Klinger	li_li-n-v	76.93	13.62	58.61	9.88	80.64	10.16
RE01-Klinger	ps_ps-e	74.38	9.52	58.61	8.57	80.34	6.57
RE01-Klinger	li_li-n-v	76.93	13.62	58.61	9.88	80.64	10.16
RE05-Prettenhofer	ps_ps-l-v	60.52	6.67	58.61	8.58	59.11	8.26
RE02-Sänger	ss-pt_ss-pt-e-l-n-t	54	10.38	58.61	7.5	62.64	8.7
RE05-Prettenhofer	r_r-l-n-s-t-v	58.67	5.97	58.61	5.67	59.07	5.69
NA01-Bütow	lt-ps_lt-ps-v	53.21	11.48	58.6	9.33	58.08	9.7
RE01-Klinger	c_r-l-v	78.31	11.97	58.6	7.07	81.53	8.47
RE01-Klinger	pt_pt-l-v	78.46	11.43	58.6	8.78	81.76	8.25
RE05-Prettenhofer	sc_sc-e-n-l-s	58.57	3.53	58.59	3.66	59.38	3.6
RE05-Prettenhofer	sc_sc-e-n-s	58.57	3.53	58.59	3.66	59.38	3.6
NA01-Bütow	ss_ss-e-l-v	55.58	8.2	58.59	7.65	58.07	7.79
RE04-Guhr	sc_sc-l-v-s	67.02	10.86	58.59	8.81	65.91	9.58
NA01-Bütow	ss_ss-e-v	55.58	8.2	58.59	7.65	58.07	7.79
RE04-Guhr	sc_sc-v-s	67.02	10.86	58.59	8.81	65.91	9.58
NA01-Bütow	li-pt_li-pt-v	53.63	11.65	58.59	10	58.09	10.13
NA01-Bütow	ss_ss-e-v	55.58	8.2	58.59	7.65	58.07	7.79
RE05-Prettenhofer	lt_r-n	58.8	5.17	58.59	6.72	59.26	6.72
RE04-Guhr	sc_sc-s-v	67.02	10.86	58.59	8.81	65.91	9.58
RE05-Prettenhofer	sc_sc-e-l-n-s	58.57	3.53	58.59	3.66	59.38	3.6
RE05-Prettenhofer	pt_pt-l-n-s-t	56.07	4.87	58.59	4.36	59.17	4.34
MI01-Clematide	sc_sc-e-n-l	53.84	8.99	58.58	8.44	58.19	9.46
MI01-Clematide	sc_sc-e-n	53.84	8.99	58.58	8.44	58.19	9.46
MI01-Clematide	sc_sc-n-l	53.84	8.99	58.58	8.44	58.19	9.46
MI01-Clematide	sc_sc-n	53.84	8.99	58.58	8.44	58.19	9.46
RE05-Prettenhofer	ss-ps_ss-ps-n	58.49	4.28	58.58	5.32	59.39	5.16
RE04-Guhr	lt-pt_lt-pt-e-l-n-t	64.37	9.45	58.58	7.57	65.63	9.15
RE05-Prettenhofer	r_r-e-l-n-t-v	59.54	5.8	58.58	6.63	59.09	6.48
MI01-Clematide	r_r-e-l-n-t-v	53.21	15.28	58.58	10.53	58.92	11.53
MI01-Clematide	c_r-l-v	53.63	14.12	58.57	9.02	59.24	10.07
SM02-Sidarenka	c_r-e-l-n-t-v	58.68	9.38	58.57	6.23	64.45	5.62
NA01-Bütow	ss_ss-l-v	55.56	8.23	58.56	7.68	58.04	7.82
NA01-Bütow	ss_ss-v	55.56	8.23	58.56	7.68	58.04	7.82
RE04-Guhr	ss-pt_ss-pt-v	65.9	12.22	58.56	10.21	64.97	13.37
RE04-Guhr	ps_ps-t-v	61.32	8.67	58.56	6.91	64.23	7.44
NA01-Bütow	ss_ss-l-v	55.56	8.23	58.56	7.68	58.04	7.82
RE05-Prettenhofer	lt_r-l-v	62.45	7.3	58.56	10.59	59.15	10.16
RE04-Guhr	ss-pt_ss-pt-l-v	65.9	12.22	58.56	10.21	64.97	13.37
SM06-Momtazi	ss-ps_ss-ps-e-l-n-t-v	54.59	9.08	58.56	6.69	59.87	6.78
RE04-Guhr	pt_pt-e-l-s-t-v	62.34	7.28	58.56	5.7	64.63	6.23
RE04-Guhr	pt_pt-e-l-n-t-s-v	62.34	7.28	58.56	5.7	64.63	6.23
MI01-Clematide	sc_r-e-l-n-s-v	54.96	10.17	58.55	9.08	59.01	10.19
SM06-Momtazi	li_li-e-l-s-t-v	55.52	7.62	58.55	5.91	59.88	5.97
RE04-Guhr	c_r-e-n-s-t-v	61.6	8.17	58.55	6.34	64.38	6.88
SM06-Momtazi	li_li-e-l-n-t-s-v	55.52	7.62	58.55	5.91	59.88	5.97
RE03-Du	sc_sc-e-n-l-v	62.34	7.93	58.54	5.35	64.15	6.98
SM01-Cieliebak	li_li-e-n-v-s	53.65	7.76	58.54	5.44	60.17	5.48
RE03-Du	sc_sc-e-n-v	62.34	7.93	58.54	5.35	64.15	6.98
LT01-Zehe	lt_lt-e-l-s	51.41	8.86	58.54	8.46	58.45	9.29
LT01-Zehe	lt_lt-l-s	51.41	8.86	58.54	8.46	58.45	9.29
RE02-Sänger	li_li-e	55.4	9.38	58.54	8.5	63.1	8.41
RE01-Klinger	li_li-n	74.58	11.5	58.54	8.97	79.97	8.78
RE05-Prettenhofer	ss-pt_ss-pt-n	58.76	4.58	58.54	5.8	59.31	5.76
