Lexicon	Acc	Acc-Std	F1-Macro	F1-Macro-Std	F1-Weighted	F1-Weighted-Std	LT-Acc	LT-Acc-Std	LT-F1-Macro	LT-F1-Macro-Std	LT-F1-Weighted	LT-F1-Weighted-Std	MI-Acc	MI-Acc-Std	MI-F1-Macro	MI-F1-Macro-Std	MI-F1-Weighted	MI-F1-Weighted-Std	NA-Acc	NA-Acc-Std	NA-F1-Macro	NA-F1-Macro-Std	NA-F1-Weighted	NA-F1-Weighted-Std	RE-Acc	RE-Acc-Std	RE-F1-Macro	RE-F1-Macro-Std	RE-F1-Weighted	RE-F1-Weighted-Std	SM-Acc	SM-Acc-Std	SM-F1-Macro	SM-F1-Macro-Std	SM-F1-Weighted	SM-F1-Weighted-Std
01-Remus	52.22726027397262	13.957089041095895	55.11438356164383	10.713424657534242	58.88496575342466	12.354589041095892	44.697363013698634	7.460547945205473	51.4190753424658	8.393630136986301	51.21917808219176	8.78027397260274	44.79832191780824	7.4812328767123315	51.71438356164382	8.434212328767119	51.7703767123288	7.0240753424657605	52.390205479452064	19.985513698630132	54.19886986301366	23.238116438356137	61.28051369863014	15.392842465753434	67.83133561643834	10.138013698630141	61.99058219178083	4.1073972602739754	71.03198630136978	9.63698630136986	46.62232876712333	8.935684931506843	53.39099315068494	8.052773972602731	54.956095890410964	10.103767123287673
02-Clematide	50.38613013698627	13.25356164383563	54.57797945205478	10.459417808219186	58.38171232876711	11.462602739726028	45.06345890410959	7.601198630136988	51.78181506849318	8.287431506849323	51.803321917808205	8.223938356164389	45.83226027397255	12.326095890410944	53.32130136986305	12.071301369863006	54.16609589041096	11.22945205479453	50.59506849315071	17.786746575342473	53.747705479452044	21.741130136986296	60.923424657534255	13.637705479452043	64.30835616438355	10.320616438356168	60.88636986301362	3.7869178082191794	69.3609246575342	8.89678082191781	43.619143835616406	7.070239726027398	51.762945205479454	6.471301369863016	53.36041095890415	7.526472602739726
03-Võ	44.270993150684944	13.194760273972602	45.038801369863	9.271643835616441	49.079828767123345	12.430616438356171	37.26380136986304	3.9010273972602767	41.6139383561644	4.399520547945205	40.29061643835613	4.650239726027402	34.9384589041096	8.004657534246576	40.104075342465755	8.813938356164385	39.43030821917805	8.108116438356168	41.223356164383574	16.381506849315073	43.05486301369866	19.234452054794513	49.15856164383564	13.67797945205479	58.950821917808206	11.448698630136981	50.281472602739704	3.4659246575342477	61.100376712328746	12.063116438356154	41.73325342465756	8.828732876712332	45.84318493150683	7.223150684931501	48.243356164383556	9.252054794520546
04-Emerson	54.54900684931504	7.776472602739729	55.07386986301368	7.526678082191785	59.549965753424694	7.27458904109589	52.47017123287672	4.911917808219181	54.86174657534247	5.266712328767126	56.76897260273973	4.841643835616441	53.39784246575338	5.644109589041099	55.25109589041095	7.5377739726027455	58.03236301369859	4.875684931506849	53.72167808219177	8.991095890410962	52.52873287671233	15.843835616438351	61.54722602739725	5.040376712328766	61.689828767123274	6.131815068493147	57.955410958904146	3.821027397260273	65.345	7.670787671232878	50.62773972602733	5.695034246575339	53.965102739726035	5.6626369863013695	55.87226027397256	5.548869863013696
05-Siegel_p	41.13342465753426	9.119417808219175	45.90270547945207	7.288801369863018	49.676952054794555	8.884486301369874	35.58873287671235	5.318767123287673	40.64828767123289	2.9120205479452057	43.32650684931504	3.8800684931506875	43.045102739726026	9.904794520547936	49.00698630136986	10.29150684931507	51.593493150684914	8.900068493150673	40.62178082191781	5.699006849315067	42.68236301369862	7.6745205479452	51.62304794520549	8.486917808219177	49.87852739726028	7.886643835616439	51.297808219178066	4.697363013698627	56.56380136986299	8.684212328767122	35.91890410958902	4.657054794520551	44.0919520547945	4.019931506849316	45.18260273972602	4.5897602739726056
06-Siegel_m	41.09472602739725	11.803390410958912	45.93636986301373	10.116643835616445	49.609691780821905	11.209931506849312	30.76479452054793	3.5902739726027417	37.20510273972598	2.4502739726027407	37.71041095890413	3.0150000000000006	45.370205479452046	18.470376712328765	51.865342465753436	18.794760273972624	53.56609589041096	17.46013698630139	38.673287671232906	5.023869863013701	41.460924657534264	10.405000000000019	49.807123287671274	5.140753424657536	52.378013698630156	8.983047945205483	52.61791095890414	5.202020547945204	59.200102739726006	9.200171232876716	35.93023972602739	4.815068493150683	44.008972602739696	4.269486301369865	45.49133561643838	4.731095890410961
07-Rill	45.15623287671232	16.346712328767126	48.736472602739696	11.706164383561644	52.24085616438354	14.666438356164392	33.0810273972603	6.362328767123285	40.72852739726027	5.852602739726028	39.47592465753428	6.482260273972606	34.358527397260254	6.403116438356165	42.30554794520547	5.634315068493147	42.048150684931514	4.726815068493147	41.80140410958904	18.999280821917807	45.408424657534276	20.092671232876715	51.383458904109574	15.998835616438347	66.36431506849311	11.372226027397263	61.382260273972626	5.813664383561644	70.34335616438355	10.006986301369869	40.59650684931507	8.116780821917805	47.0803424657534	7.133698630136984	49.0627739726027	9.172328767123295
08-Takamura-c	53.00739726027395	9.082431506849321	52.326883561643875	7.638253424657531	56.83921232876715	8.124109589041097	48.672945205479486	4.864212328767123	51.26205479452054	5.61575342465753	51.716883561643854	5.420513698630137	50.151609589041136	5.386267123287675	51.71428082191777	6.521027397260275	53.66893835616442	4.893767123287669	48.83308219178081	12.951780821917808	47.74619863013697	17.372534246575345	55.59770547945206	7.265171232876715	62.48455479452059	7.609280821917808	55.40287671232876	2.6964041095890394	64.63828767123287	9.02154109589041	50.7933219178082	5.780650684931503	52.893321917808194	4.9898287671232895	55.10784246575344	5.596780821917811
09-Takamura-f	48.22445205479452	10.596438356164393	48.77866438356163	8.250616438356166	53.02982876712328	9.374315068493145	43.843390410958854	4.481712328767121	48.23643835616434	5.119999999999996	48.050924657534274	4.878801369863011	43.09356164383563	8.164417808219183	46.831198630137	8.922876712328762	47.070479452054784	7.402054794520551	44.06249999999999	12.521506849315061	44.85934931506848	16.97849315068494	51.75318493150684	7.7521917808219145	59.03126712328765	10.51910958904109	51.683253424657515	4.2910958904109595	61.34476027397263	10.632294520547937	46.05770547945209	7.670102739726029	49.563904109589046	6.906164383561644	52.20825342465753	7.3921575342465795
10-Rauh	55.785821917808256	11.732602739726028	58.475136986301415	9.795273972602732	62.38458904109588	10.083321917808219	50.4637328767123	5.70787671232877	55.49390410958903	6.217500000000004	56.72243150684932	5.997226027397267	50.48065068493149	4.431712328767123	55.51695205479453	6.498116438356167	57.01352739726024	3.223904109589043	57.97013698630141	17.221335616438346	58.58510273972601	22.748116438356163	66.76010273972608	12.138184931506853	68.21589041095889	9.504143835616436	64.50571917808217	4.014726027397259	72.05332191780819	8.922979452054792	49.649109589041075	7.329143835616436	56.36441780821918	6.814178082191778	57.657191780821925	7.639760273972603
