Config	Acc	Acc-Std	F1-Macro	F1-Macro-Std	F1-Weighted	F1-Weighted-Std	LT-Acc	LT-Acc-Std	LT-F1-Macro	LT-F1-Macro-Std	LT-F1-Weighted	LT-F1-Weighted-Std	MI-Acc	MI-Acc-Std	MI-F1-Macro	MI-F1-Macro-Std	MI-F1-Weighted	MI-F1-Weighted-Std	NA-Acc	NA-Acc-Std	NA-F1-Macro	NA-F1-Macro-Std	NA-F1-Weighted	NA-F1-Weighted-Std	RE-Acc	RE-Acc-Std	RE-F1-Macro	RE-F1-Macro-Std	RE-F1-Weighted	RE-F1-Weighted-Std	SM-Acc	SM-Acc-Std	SM-F1-Macro	SM-F1-Macro-Std	SM-F1-Weighted	SM-F1-Weighted-Std
ss_ss-t-v-s	54.06375	10.99125	54.365	9.09375	58.69875	9.54	47.51125	6.10625	50.07125	5.05875	51.50875	4.965	52.7775	9.5775	54.73625	9.56625	56.99625	7.14	55.73625	13.46625	53.85375	18.24125	63.055	9.795	65.3125	6.345	59.58125	3.68125	67.6075	7.24625	47.7725	6.4375	52.23625	5.7775	53.53875	6.10625
sc_sc-n-l-v-s	54.435	10.20375	54.31375	8.68375	58.76125	8.88	48.67875	5.65625	50.6	4.61	52.02625	4.69	53.33125	8.9925	54.725	9.295	57.22	6.505	55.47625	12.4975	53.10875	17.635	62.39625	8.50375	64.8225	5.59125	58.895	3.53	67.06125	6.745	48.69375	5.95375	52.74625	5.6575	54.16375	5.92375
sc-ps_sc-ps-e-l-n-t-s-v	53.24125	10.1975	54.3125	8.73	58.745	9.00625	45.8	5.65375	49.20875	5.135	50.66625	4.81875	50.23125	10.70625	53.4675	10.1625	55.62	8.4775	52.6225	11.92375	52.09625	16.75125	61.00375	8.95	62.86125	7.22875	58.5575	3.14625	66.23875	7.36875	50.7625	7.31125	54.855	6.06625	56.97375	7.145
sc-ps_sc-ps-e-l-s-t-v	53.24125	10.1975	54.3125	8.73	58.745	9.00625	45.8	5.65375	49.20875	5.135	50.66625	4.81875	50.23125	10.70625	53.4675	10.1625	55.62	8.4775	52.6225	11.92375	52.09625	16.75125	61.00375	8.95	62.86125	7.22875	58.5575	3.14625	66.23875	7.36875	50.7625	7.31125	54.855	6.06625	56.97375	7.145
sc-ps_sc-ps-e-n-s-t-v	53.24	10.19875	54.3125	8.73125	58.745	9.00625	45.8	5.65375	49.20875	5.135	50.66625	4.81875	50.23	10.70625	53.46625	10.1625	55.62	8.4775	52.62	11.9275	52.09375	16.75375	61.00125	8.95375	62.86125	7.22875	58.5575	3.14625	66.23875	7.36875	50.7625	7.31125	54.855	6.06625	56.97375	7.145
sc_sc-n-v-s	54.435	10.20375	54.3125	8.68375	58.76125	8.88	48.67875	5.65625	50.6	4.61	52.02625	4.69	53.33125	8.9925	54.725	9.295	57.22	6.505	55.47375	12.50125	53.1075	17.6375	62.39375	8.5075	64.8225	5.59125	58.895	3.53	67.06125	6.745	48.69375	5.95375	52.74625	5.6575	54.16375	5.92375
sc_sc-l-v	56.02	11.22125	54.30625	9.1675	58.8325	10.25625	53.0625	5.8025	52.82375	5.8275	54.5025	5.905	54.6225	9.63625	54.86375	9.65375	57.43125	7.9625	55.38625	14.23625	51.61	16.4975	60.84375	10.91625	65.77125	7.5625	57.96625	5.1275	66.3075	8.84125	50.38875	7.14125	53.07	6.635	54.47125	7.49625
sc_sc-v	56.02	11.22125	54.30625	9.1675	58.8325	10.25625	53.0625	5.8025	52.82375	5.8275	54.5025	5.905	54.6225	9.63625	54.86375	9.65375	57.43125	7.9625	55.38625	14.23625	51.61	16.4975	60.84375	10.91625	65.77125	7.5625	57.96625	5.1275	66.3075	8.84125	50.38875	7.14125	53.07	6.635	54.47125	7.49625
lt-pt_lt-pt-l-n-s-t-v	53.065	10.695	54.295	8.64875	58.6025	9.04875	47.06625	5.44125	50.42	4.9075	51.6525	4.47	52.26375	10.53375	55.0875	10.13875	57.33125	8.2	54.09375	11.475	53.12625	17.4975	62.4825	7.43125	64.7525	6.765	59.695	3.29875	67.67125	7.21375	46.21375	5.865	51.92125	5.07125	53.21625	5.1525
li_li-l-v	54.91625	12.67125	54.2825	9.8575	58.5725	11.32625	48.33875	5.87	50.05125	5.80375	50.69125	5.8675	54.325	11.74375	55.6275	11.38875	58.005	9.55125	55.61625	14.55375	53.055	17.415	62.1575	10.9975	66.4475	8.96875	59.17375	4.815	67.2725	9.72625	48.5425	7.37125	52.265	5.95125	53.75	6.97875
lt_lt-n-v-s	53.58375	10.2975	54.2675	8.49875	58.62625	8.82375	47.15	5.055	50.16	4.7525	51.31375	4.30375	53.3525	10.47125	55.52	10.37	57.94	8.06875	54.54625	10.93125	52.8875	16.9025	62.30375	6.8	64.50375	6.1625	59.155	3.2775	67.12625	7.04375	47.3325	5.8125	52.315	5.06	53.7075	5.235
li-pt_li-pt-n-v	53.6725	11.65875	54.26625	9.15	58.525	10.1425	48.1325	4.335	50.865	3.7375	51.99875	3.41375	53.49	10.87	55.505	10.26625	57.98	8.56375	55.36	13.5625	53.655	17.6125	62.895	9.96625	65.13	8.14125	59.54125	3.305	67.2775	8.535	46.14375	6.5675	51.255	5.5325	52.59	5.8825
li-pt_li-pt-s-v	53.57875	12.045	54.2525	9.585	58.50875	10.535	47.7775	5.905	50.6725	5.1925	51.68125	5.34125	53.52125	11.68875	55.73375	11.29	58.1725	9.42875	54.985	12.6675	53.57	17.305	62.78875	9.35125	65.53875	8.28625	59.72875	3.62375	67.57	8.58125	45.84	6.67	51.0825	5.4975	52.40875	6.075
li_li-n-v	53.78625	11.66625	54.2425	9.1975	58.49375	10.22875	48.13625	4.16375	50.6775	3.50875	51.83875	3.335	54.43875	11.0275	56.08375	10.4675	58.77625	8.645	55.73125	13.43875	53.80125	17.585	63.1	10.34875	64.58875	8.1525	59.1425	3.43375	66.73	8.59	46.3075	6.7725	51.24375	5.73125	52.51375	6.0975
sc-pt_sc-pt-n-v	53.34375	11.2375	54.24125	8.86125	58.51875	9.78	48.58	4.4725	51.1875	3.995	52.6925	3.74	53.08875	10.61625	55.34875	9.9475	57.96375	8.4425	55.38125	11.79375	53.85375	17.21375	63.20125	8.77375	64.73625	7.975	59.78875	2.94875	67.36125	7.98125	45.335	6.07375	50.78125	5.36875	52.0025	5.62625
ss-pt_ss-pt-e-l-n-t-s-v	53.10625	10.6275	54.22125	8.81625	58.63125	9.23625	44.05625	5.6125	47.905	4.8225	49.11875	4.65	49.575	10.80125	53.01375	10.29125	54.9475	8.46875	51.9175	11.51125	51.775	16.60125	60.54375	7.985	63.83	7.425	59.07125	3.685	67	7.55375	51.06125	6.70375	55.16375	5.19125	57.305	6.4075
ss-pt_ss-pt-e-l-s-t-v	53.10625	10.6275	54.22125	8.81625	58.63125	9.23625	44.05625	5.6125	47.905	4.8225	49.11875	4.65	49.575	10.80125	53.01375	10.29125	54.9475	8.46875	51.9175	11.51125	51.775	16.60125	60.54375	7.985	63.83	7.425	59.07125	3.685	67	7.55375	51.06125	6.70375	55.16375	5.19125	57.305	6.4075
ss-pt_ss-pt-e-n-s-t-v	53.105	10.62875	54.22125	8.8175	58.63125	9.23625	44.05625	5.6125	47.905	4.8225	49.11875	4.65	49.575	10.8025	53.01375	10.29125	54.94625	8.46875	51.915	11.515	51.77375	16.60375	60.54125	7.98875	63.83	7.425	59.07125	3.685	67	7.55375	51.06125	6.70375	55.16375	5.19125	57.305	6.4075
li_r-l-n-s-t-v	53.075	11.0275	54.21625	9.095	58.46625	9.38875	46.50125	5.8675	49.8475	4.98875	51.0325	5.17625	53.17625	11.5625	55.8825	11.04	58.24125	9.0575	54.115	12.055	53.2525	18.00375	62.41875	8.24	64.53375	7.1025	59.49875	3.59	67.2875	7.66125	46.24125	5.80125	51.6475	5.075	52.9675	5.1175
sc-ps_sc-ps-e-l-n-s-v	53.3825	9.79	54.19875	8.445	58.69	8.64875	46.47875	5.53	49.86	4.46375	51.2775	4.57375	50.33125	10.13	53.2725	9.64125	55.46375	7.72875	52.7075	11.535	51.80625	16.5125	60.76875	8.38125	62.42875	6.75625	57.85375	3.1075	65.70625	7.14375	51.16125	7.22625	54.9825	6.05375	57.12375	7.16625
sc-ps_sc-ps-l-v	53.42375	11.64375	54.19625	9.0525	58.4375	10.2325	50.06625	6.28625	52.32	5.54625	54.00875	5.77875	53.02875	11.27875	55.1925	10.64875	57.75	9.32875	54.8775	11.5175	52.97375	15.88625	62.335	9.65375	64.21375	8.76375	59.25625	3.6025	66.6	8.75625	45.58125	6.4575	51.03	5.7075	52.24625	6.0525
sc-ps_sc-ps-v	53.42375	11.64375	54.19625	9.05375	58.43625	10.2325	50.06625	6.28625	52.32	5.54625	54.00875	5.77875	53.0275	11.27875	55.1925	10.65	57.75	9.32875	54.87375	11.52125	52.97125	15.88875	62.33375	9.655	64.21375	8.76375	59.25625	3.6025	66.6	8.75625	45.58125	6.4575	51.03	5.7075	52.24625	6.0525
li_li-n-t-v-s	52.87375	10.7575	54.16625	8.80625	58.3625	9.235	46.97	5.19625	50.29625	4.705	51.48	4.4125	53.0975	10.2575	55.48375	9.81875	58.0375	7.8275	54.4625	11.65875	53.55875	17.865	62.89125	8.1725	64.0775	7.0725	59.55	3.21875	67.10875	7.34375	45.58375	5.83625	51.2675	4.95875	52.4175	5.05875
li_li-t-v-s	52.87375	10.7575	54.16625	8.80625	58.3625	9.235	46.97	5.19625	50.29625	4.705	51.48	4.4125	53.0975	10.2575	55.48375	9.81875	58.0375	7.8275	54.4625	11.65875	53.55875	17.865	62.89125	8.1725	64.0775	7.0725	59.55	3.21875	67.10875	7.34375	45.58375	5.83625	51.2675	4.95875	52.4175	5.05875
lt_r-t-v	52.55875	12.045	54.15875	9.5525	58.1825	10.4175	46.8575	5.415	50.645	4.03875	51.63875	4.4475	52.51125	11.7125	55.36	11.21125	57.76875	9.0475	53.8925	12.13875	53.325	17.54125	62.40125	9.59875	65.02875	8.88875	60.48625	4.045	67.78875	8.83125	44.37625	6.375	50.45625	5.865	51.54375	5.97875
lt_lt-n-v	54.44375	11.39375	54.135	8.9325	58.4	10.475	50.52	4.41375	52.03875	4.51125	53.4	4.08	55.54875	11.61	55.8025	11.12875	59.02875	10.16625	56.22375	13.925	53.1675	15.95875	62.63375	12.28625	62.8125	8.18875	57.34625	4.2	64.405	9.065	47.99125	6.21875	52.16125	5.24625	53.465	5.77
ss_ss-n-l-v-s	54.07875	10.6075	54.10875	8.7875	58.4975	9.18	47.6425	5.3825	50.0525	4.4325	51.46	4.45	52.63	9.15875	54.28125	9.2575	56.57625	6.77	55.6025	13.38375	53.37625	17.86875	62.62	9.56875	64.75	5.9225	58.71625	3.7025	66.90375	7.0425	48.36125	6.27	52.57875	5.53375	53.90875	5.88875
ss_ss-n-v-s	54.0775	10.60875	54.10875	8.78875	58.4975	9.18	47.6425	5.3825	50.0525	4.4325	51.46	4.45	52.63	9.16	54.28	9.2575	56.575	6.77	55.6	13.38875	53.375	17.87125	62.6175	9.5725	64.75	5.9225	58.71625	3.7025	66.90375	7.0425	48.36125	6.27	52.57875	5.53375	53.90875	5.88875
sc-ps_sc-ps-t-v	52.6975	11.51	54.09375	9.01	58.29	9.94375	48.695	4.605	51.585	4.03375	53.255	3.93875	52.2525	10.6325	54.97125	9.79	57.52875	8.45	54.47625	11.73	53.4075	17.05125	62.69625	9.13	64.50875	9.05625	60.185	3.43	67.505	8.62625	44.1925	6.2875	50.17375	5.89625	51.30375	5.91125
lt-ps_lt-ps-s-v	53.05625	12.10625	54.08875	9.44125	58.2425	10.50625	47.51875	5.66875	50.935	5.89375	51.86875	5.435	52.16125	12.495	54.84875	11.6925	56.955	10.39375	54.32125	12.21875	53.14	17.20125	62.22625	8.68	65.24625	8.8475	59.83875	3.16125	67.515	8.93625	45.4825	6.625	50.96125	5.59125	52.36125	6.17375
ss_ss-n-l-v	55.17875	12.20125	54.07375	9.3775	58.4125	10.63875	48.9225	5.45125	50.58375	4.6675	51.37625	4.85125	52.4125	9.87375	53.4775	9.57625	55.44	7.505	55.8175	17.755	53.2425	19.63625	61.875	12.7525	66.92625	8.2275	58.7525	3.70875	67.31625	9.33125	49.57625	6.51375	52.62625	5.51625	54.265	6.19875
ss_ss-n-v	55.17875	12.20125	54.07375	9.3775	58.4125	10.63875	48.9225	5.45125	50.58375	4.6675	51.37625	4.85125	52.41125	9.875	53.4775	9.5775	55.43875	7.505	55.8175	17.755	53.2425	19.63625	61.875	12.7525	66.92625	8.2275	58.7525	3.70875	67.31625	9.33	49.57625	6.51375	52.62625	5.51625	54.265	6.19875
li_r-l-v	54.095	12.43375	54.05	9.8675	58.245	11.11375	47.82875	6.3825	50.15	5.9275	50.72125	6.49	54.44375	12.995	56.22	12.3675	58.58125	10.6875	54.84375	13.10625	53.115	17.3875	62.03375	10.6675	65.2975	8.63	58.60875	4.885	66.58375	9.505	47.34	6.8	51.58875	5.65125	52.9925	6.5775
li-ps_li-ps-t-v	53.165	11.92375	54.04875	9.27375	58.2675	10.35875	48.52375	4.44375	51.45625	3.83875	52.52	3.4825	52.50875	10.93875	54.91875	10.09	57.2675	8.695	55.1625	14.145	53.8425	18.19	62.97	10.51375	64.8175	8.96625	59.42125	3.24375	67.23875	8.805	45.10375	6.5825	50.53625	5.6875	51.81625	6.10875
lt-ps_lt-ps-n-v	53.05	11.265	54.03875	8.73125	58.24	9.7975	48.43125	4.57125	51.46375	4.50125	52.68	4.35625	52.57625	11.67125	54.93125	10.77	57.33375	9.4475	54.88125	11.8025	53.40875	17.14625	62.65	9.31625	64.00125	8.52	59.1	2.635	66.63375	8.6125	45.55625	5.93875	50.975	5.0075	52.275	5.3825
sc-pt_sc-pt-s-v	53.33625	12.20375	54.0375	9.4425	58.23875	10.6025	48.165	6.46375	50.995	5.3875	51.90375	5.72125	51.89375	11.68375	54.40375	11.1275	56.47625	9.58	53.895	12.27875	52.40125	16.7975	61.485	9.12875	65.90875	8.8425	59.86625	3.62	67.8825	8.89625	45.88625	6.54875	51.335	5.56375	52.6275	6.1975
ss_ss-e-l-s	52.16	12.61947368	54.00052632	10.18947368	57.95263158	11.60894737	46.52315789	6.485789474	51.75631579	7.155263158	51.73052632	7.512105263	43.97105263	7.758421053	49.13315789	8.444736842	49.73526316	7.18	48.64052632	16.29210526	50.13631579	19.93736842	57.34	12.95894737	64.90631579	10.61105263	59.20631579	4.503684211	67.85157895	10.69789474	50.20789474	8.838947368	55.15263158	7.997894737	57.23473684	9.657368421
ss_ss-e-s	52.16	12.61947368	54.00052632	10.18947368	57.95263158	11.60894737	46.52315789	6.485789474	51.75631579	7.155263158	51.73052632	7.512105263	43.97105263	7.758947368	49.13315789	8.444736842	49.73526316	7.180526316	48.64052632	16.29210526	50.13631579	19.93736842	57.34	12.95894737	64.90631579	10.61105263	59.20631579	4.503684211	67.85157895	10.69789474	50.20789474	8.838947368	55.15263158	7.997894737	57.23473684	9.657368421
ss-pt_ss-pt-e-l-n-s-v	53.06375	10.40625	53.96625	8.66625	58.3975	9.09375	44.05125	5.06125	47.77625	4.17875	48.9675	4.18625	49.52375	10.27125	52.6625	9.74875	54.66625	7.85375	51.69	11.2675	51.20875	16.05125	60.04	7.7625	63.445	6.89375	58.51625	3.43875	66.50875	7.23375	51.3725	6.7625	55.30625	5.27	57.3975	6.5925
lt_lt-e-l-s	51.50894737	12.39842105	53.96157895	10.17421053	57.95789474	11.35157895	45.26684211	6.318421053	50.79263158	7.000526316	50.88894737	7.192631579	44.70578947	8.454210526	50.37894737	9.287894737	51.40947368	7.930526316	48.12052632	15.19736842	50.35	19.49	57.57684211	11.87789474	63.92736842	10.79263158	59.11473684	4.822631579	67.56947368	10.54210526	49.37894737	8.953684211	54.84842105	8.135263158	56.95	9.84
lt_lt-l-v	55.36125	12.50375	53.95625	9.43875	58.22625	11.6425	51.05625	5.59625	51.32125	6.00625	52.325	5.79	56.04875	11.86875	55.465	11.285	58.61375	10.715	56.6925	15.5025	52.80875	15.43625	62.14625	13.28375	63.59375	9.57	56.60625	5.76875	63.9025	10.64375	49.645	6.805	52.88625	5.515	54.28625	6.45
li_li-n-v-s	52.895	10.6175	53.9125	8.6575	58.17875	9.09875	46.95625	5.34375	50.12875	4.82125	51.3725	4.54625	53.11375	10.13875	55.2075	9.6675	57.83375	7.63	54.1975	11.3825	52.84125	17.25125	62.22	7.59625	63.86	6.84625	59.1025	2.9775	66.74375	7.305	45.96625	5.76875	51.37375	4.81875	52.6	4.96
sc-ps_sc-ps-n-v	52.705	11.235	53.9075	8.9225	58.15375	9.7625	48.53875	4.26875	51.40125	3.9575	53.065	3.8225	52.53375	10.63125	55.075	9.87	57.64	8.5125	54.965	11.77875	53.70875	17.2925	62.9975	9.1525	63.8275	8.30375	59.32125	2.82125	66.74875	8.1175	44.47	6.42375	50.1675	5.95875	51.37	6.0325
lt-pt_lt-pt-l-v	54.58	12.59	53.84875	9.365	58.1225	11.37125	49.18125	5.715	50.42375	5.855	51.20125	5.62875	53.355	11.385	54.47	10.8975	56.855	9.8575	55.76375	14.835	53.16	16.8125	62.03625	11.58875	65.545	9.40875	58.075	4.38375	66.19625	10.03375	48.16	6.92125	52.07125	5.43375	53.5275	6.35
li-ps_li-ps-n-v	53.10875	11.695	53.81375	9.17	58.0725	10.195	47.955	4.3375	50.69625	3.94625	51.83	3.52875	52.7825	10.99	54.97625	10.12625	57.37875	8.72875	55.40625	13.87	53.7375	17.8375	62.94625	10.27	64.19	8.3875	58.78875	3.04	66.53	8.46625	45.46875	6.4425	50.6775	5.4825	52.055	5.87875
lt_r-n-v	52.4025	11.57875	53.8	9.3325	57.84875	10.05375	46.45125	5.04125	50.06375	3.555	51.12	4.04875	52.8275	11.75125	55.3925	11.29875	57.85875	9.0275	54.0225	12.0425	53.2175	17.26875	62.23375	9.39	63.9225	7.9775	59.3675	3.63625	66.655	8.2875	44.76125	5.97375	50.5225	5.29875	51.68125	5.495
lt-pt_lt-pt-v	54.48625	12.6025	53.79625	9.37875	58.07125	11.38125	49.1725	5.75125	50.41625	5.98625	51.28875	5.6375	53.3925	11.3625	54.4875	10.90125	56.89	9.75625	55.765	14.72625	53.22625	16.80375	62.09125	11.5775	65.375	9.46125	57.98125	4.40125	66.07125	10.0675	47.975	6.88125	51.93875	5.405	53.37625	6.33625
lt_lt-e-l-n-t	51.91894737	11.74789474	53.79421053	9.314736842	57.88842105	10.76736842	46.17368421	4.824736842	50.46631579	5.035263158	51.31578947	4.923157895	47.69421053	8.614736842	51.98736842	9.140526316	53.75842105	7.941052632	49.76631579	14.49368421	50.57736842	17.66368421	58.46157895	12.04789474	63.28473684	11.01473684	58.98052632	5.363157895	66.69368421	10.72052632	48.50947368	7.111052632	53.64947368	6.380526316	55.61315789	7.552631579
lt_lt-e-l-t	51.91894737	11.74789474	53.79421053	9.314736842	57.88842105	10.76736842	46.17368421	4.824736842	50.46631579	5.035263158	51.31578947	4.923157895	47.69421053	8.614736842	51.98736842	9.140526316	53.75842105	7.941052632	49.76631579	14.49368421	50.57736842	17.66368421	58.46157895	12.04789474	63.28473684	11.01473684	58.98052632	5.363157895	66.69368421	10.72052632	48.50947368	7.111052632	53.64947368	6.380526316	55.61315789	7.552631579
lt_lt-e-n-l-t	51.91894737	11.74789474	53.79421053	9.314736842	57.88842105	10.76736842	46.17368421	4.824736842	50.46631579	5.035263158	51.31578947	4.923157895	47.69421053	8.614736842	51.98736842	9.140526316	53.75842105	7.941052632	49.76631579	14.49368421	50.57736842	17.66368421	58.46157895	12.04789474	63.28473684	11.01473684	58.98052632	5.363157895	66.69368421	10.72052632	48.50947368	7.111052632	53.64947368	6.380526316	55.61315789	7.552631579
li-ps_li-ps-s-v	52.9875	12.01	53.79	9.5775	58.0325	10.50375	47.67625	5.8575	50.54	5.0825	51.62375	5.18125	52.895	12.06875	55.25375	11.3325	57.6225	9.82875	54.65625	12.46625	53.24125	17.15625	62.4675	9.09375	64.53	8.62625	59.00875	3.4625	66.7925	8.59125	45.2375	6.5225	50.60625	5.50875	51.92875	6.13
sc_sc-e-l-n-t	52.17421053	11.52210526	53.78315789	9.340526316	57.93578947	10.43947368	47.13052632	5.289473684	51.41	5.374210526	52.39052632	5.296315789	46.88578947	7.824210526	51.12263158	8.297894737	52.58894737	6.637368421	49.28947368	13.38894737	49.96578947	17.76578947	57.86526316	10.46473684	64.29263158	9.725789474	59.57263158	4.395789474	67.66	9.448947368	48.68789474	8.032631579	53.37947368	7.597894737	55.31421053	8.754210526
sc_sc-e-l-t	52.17421053	11.52210526	53.78315789	9.340526316	57.93578947	10.43947368	47.13052632	5.289473684	51.41	5.374210526	52.39052632	5.296315789	46.88578947	7.824210526	51.12263158	8.297894737	52.58894737	6.637368421	49.28947368	13.38894737	49.96578947	17.76578947	57.86526316	10.46473684	64.29263158	9.725789474	59.57263158	4.395789474	67.66	9.448947368	48.68789474	8.032631579	53.37947368	7.597894737	55.31421053	8.754210526
sc_sc-e-n-l-t	52.17421053	11.52210526	53.78315789	9.340526316	57.93578947	10.43947368	47.13052632	5.289473684	51.41	5.374210526	52.39052632	5.296315789	46.88578947	7.824210526	51.12263158	8.297894737	52.58894737	6.637368421	49.28947368	13.38894737	49.96578947	17.76578947	57.86526316	10.46473684	64.29263158	9.725789474	59.57263158	4.395789474	67.66	9.448947368	48.68789474	8.032631579	53.37947368	7.597894737	55.31421053	8.754210526
sc_sc-e-n-t	52.17421053	11.52210526	53.78315789	9.340526316	57.93578947	10.43947368	47.13052632	5.289473684	51.41	5.374210526	52.39052632	5.296315789	46.88578947	7.824210526	51.12263158	8.297894737	52.58894737	6.637368421	49.28947368	13.38894737	49.96578947	17.76578947	57.86526316	10.46473684	64.29263158	9.725789474	59.57263158	4.395789474	67.66052632	9.448947368	48.68789474	8.032631579	53.37947368	7.597894737	55.31421053	8.754210526
sc_sc-e-t	52.17421053	11.52210526	53.78315789	9.340526316	57.93578947	10.43947368	47.13052632	5.289473684	51.41	5.374210526	52.39052632	5.296315789	46.88578947	7.824210526	51.12263158	8.297894737	52.58894737	6.637368421	49.28947368	13.38894737	49.96578947	17.76578947	57.86526316	10.46473684	64.29263158	9.725789474	59.57263158	4.395789474	67.66052632	9.448947368	48.68789474	8.032631579	53.37947368	7.597894737	55.31421053	8.754210526
ss-ps_ss-ps-e-l-n-t-s-v	52.37	10.5125	53.77875	8.7725	58.10625	9.22125	43.85625	5.12	47.89	4.3425	49.11875	4.145	48.9675	10.89625	52.61125	10.375	54.435	8.73875	51.37625	11.80375	51.2575	16.46375	60.035	8.5475	62.57875	7.3625	58.375	3.4425	66.095	7.40375	50.315	7.09625	54.74	5.57375	56.8125	6.87125
ss-ps_ss-ps-e-l-s-t-v	52.37	10.5125	53.77875	8.7725	58.10625	9.22125	43.85625	5.12	47.89	4.3425	49.11875	4.145	48.9675	10.89625	52.61125	10.375	54.435	8.73875	51.37625	11.80375	51.2575	16.46375	60.035	8.5475	62.57875	7.3625	58.375	3.4425	66.095	7.40375	50.315	7.09625	54.74	5.57375	56.8125	6.87125
ss-ps_ss-ps-e-n-s-t-v	52.36875	10.5125	53.77875	8.77375	58.105	9.2225	43.85625	5.12	47.89	4.3425	49.11875	4.145	48.9675	10.89625	52.61125	10.37625	54.43375	8.73875	51.37375	11.8075	51.255	16.4675	60.0325	8.55	62.57875	7.3625	58.375	3.4425	66.095	7.40375	50.315	7.0975	54.74	5.57375	56.8125	6.87125
ss-pt_ss-pt-t-v	52.71875	12.23375	53.77875	9.205	57.935	10.5625	47.8525	4.8075	50.93625	3.785	52.0825	3.725	50.72625	10.62375	53.445	9.945	55.65375	8.54875	53.80375	14.23125	52.975	17.675	61.815	10.5025	65.575	9.395	60.015	3.56875	67.805	9.135	44.89625	7.0625	50.57	6.17	51.83	6.475
li_li-e-l-n-t	51.72736842	12.08526316	53.77631579	9.460526316	57.8	10.83578947	45.22210526	4.767894737	50.1	4.884210526	50.44789474	5.045789474	46.35473684	8.504736842	51.43842105	9.001052632	52.82421053	7.662105263	49.06105263	14.81631579	50.39842105	18.50473684	57.98578947	12.10105263	64.12631579	11.00263158	59.53157895	5.034210526	67.50105263	10.44578947	48.66736842	7.342631579	53.67789474	6.360526316	55.79105263	7.760526316
li_li-e-l-t	51.72736842	12.08526316	53.77631579	9.460526316	57.8	10.83578947	45.22210526	4.767894737	50.1	4.884210526	50.44789474	5.045789474	46.35473684	8.504736842	51.43842105	9.001052632	52.82421053	7.662105263	49.06105263	14.81631579	50.39842105	18.50473684	57.98578947	12.10105263	64.12631579	11.00263158	59.53157895	5.034210526	67.50105263	10.44578947	48.66736842	7.342631579	53.67789474	6.360526316	55.79105263	7.760526316
li_li-e-n-l-t	51.72736842	12.08526316	53.77631579	9.460526316	57.8	10.83578947	45.22210526	4.767894737	50.1	4.884210526	50.44789474	5.045789474	46.35473684	8.504736842	51.43842105	9.001052632	52.82421053	7.662105263	49.06105263	14.81631579	50.39842105	18.50473684	57.98578947	12.10105263	64.12631579	11.00263158	59.53157895	5.034210526	67.50105263	10.44578947	48.66736842	7.342631579	53.67789474	6.360526316	55.79105263	7.760526316
li-pt_li-pt-l-n-s-t-v	52.345	10.7525	53.73125	8.7575	57.99875	9.18375	46.33	5.80625	49.575	5.29375	51	4.89125	52.3875	10.28125	55.01125	9.7425	57.50375	7.92375	53.8425	11.42625	52.9375	17.39375	62.29625	8.0425	63.755	6.73875	59.25375	3.32	66.94625	7.12125	45.06625	5.88375	50.96375	5.05	52.14375	5.1375
lt_r-s-v	52.51625	12.61875	53.72125	9.895	57.7925	10.915	45.9825	6.36125	49.46	4.5825	50.3775	5.33375	52.18	12.1475	55.0025	11.72	57.23875	9.52375	53.21875	12.5875	52.45625	17.135	61.365	9.35	65.44875	8.46	60.005	3.89375	67.5875	8.7725	44.8225	6.5275	50.61125	5.5725	51.82375	6.14625
li_li-e-l-s	51.18157895	12.39526316	53.67105263	10.12684211	57.62578947	11.37052632	45.09684211	6.773157895	50.68263158	7.269473684	50.71473684	7.811578947	44.20631579	8.201578947	49.81315789	8.900526316	50.88473684	7.64	47.84	15.26105263	50.03	19.29526316	57.20684211	12.26526316	63.48947368	10.59631579	58.84315789	4.756842105	67.20105263	10.34789474	49.12684211	8.905789474	54.60157895	7.989473684	56.68526316	9.780526316
lt-ps_lt-ps-l-v	53.40625	12.22125	53.65	9.28125	57.87125	10.86125	48.3225	5.42375	50.58125	5.80375	51.57125	5.69625	52.6975	12.4425	54.57375	11.54875	56.805	10.7	54.88625	13.0025	52.8025	16.70875	61.83875	10.33	64.4225	9.04625	58.3975	3.7475	66.235	9.4025	46.38125	6.59375	51.1875	5.435	52.59875	6.1975
ss-pt_ss-pt-s-v	52.55375	12.70375	53.6425	9.70125	57.69125	11.07875	46.52	5.99875	49.79	5.025	50.58625	5.41125	50.64375	11.41625	53.59	10.8775	55.49	9.29875	53.29	12.76125	52.4475	17.04875	61.36	9.59375	66.08625	9.17625	60.35875	3.6325	68.07	9.2425	44.88625	6.97875	50.595	5.94625	51.86	6.58375
sc-ps_sc-ps-s-v	52.7075	12.22	53.635	9.495	57.74875	10.6925	48.46375	6.4975	51.49125	5.655	52.47	5.9775	51.32125	11.75375	54.01625	11.21125	56.08	9.75625	53.33375	12.7775	51.9575	16.56875	60.90875	9.73375	64.86125	9.06	59.28625	3.53875	67.03125	8.96875	45.0825	6.8625	50.64625	6.12625	51.915	6.75375
