Config	Acc	Acc-Std	F1-Macro	F1-Macro-Std	F1-Weighted	F1-Weighted-Std	LT-Acc	LT-Acc-Std	LT-F1-Macro	LT-F1-Macro-Std	LT-F1-Weighted	LT-F1-Weighted-Std	MI-Acc	MI-Acc-Std	MI-F1-Macro	MI-F1-Macro-Std	MI-F1-Weighted	MI-F1-Weighted-Std	NA-Acc	NA-Acc-Std	NA-F1-Macro	NA-F1-Macro-Std	NA-F1-Weighted	NA-F1-Weighted-Std	RE-Acc	RE-Acc-Std	RE-F1-Macro	RE-F1-Macro-Std	RE-F1-Weighted	RE-F1-Weighted-Std	SM-Acc	SM-Acc-Std	SM-F1-Macro	SM-F1-Macro-Std	SM-F1-Weighted	SM-F1-Weighted-Std
lt_lt-e-l-s-t-v	56.75	9.945	56.7675	8.825	61.36	8.725	48.4975	4.94875	51.26875	4.34625	52.51625	4.0775	53.97	11.08625	56.255	11.09125	58.54625	8.80625	55.9375	12.33625	54.5975	18.28	63.895	8.175	66.27375	6.8025	60.59	3.66875	68.655	7.4975	54.73375	6.53875	57.67625	5.48	59.8375	6.28625
sc_sc-e-l-n-t-v	57.97	10.1375	56.72875	9.035	61.4025	9.245	52.415	4.9425	53.27	4.65375	55.1775	4.26625	54.8675	9.3325	55.6325	9.40375	58.38	7.32875	56.68875	13.685	53.9725	17.645	63.165	9.99625	67.095	7.0325	60.54875	4.035	68.545	7.9825	55.34125	8.29875	57.19625	7.6325	59.1925	8.41375
sc_sc-e-l-t-v	57.97	10.1375	56.72875	9.035	61.4025	9.245	52.415	4.9425	53.27	4.65375	55.1775	4.26625	54.8675	9.3325	55.6325	9.40375	58.38	7.32875	56.68875	13.685	53.9725	17.645	63.165	9.99625	67.095	7.0325	60.54875	4.035	68.545	7.9825	55.34125	8.29875	57.19625	7.6325	59.1925	8.41375
sc_sc-e-n-t-v	57.97	10.1375	56.72875	9.035	61.4025	9.245	52.415	4.9425	53.27	4.65375	55.1775	4.26625	54.8675	9.3325	55.6325	9.40375	58.38	7.32875	56.68875	13.685	53.9725	17.645	63.165	9.99625	67.095	7.0325	60.54875	4.035	68.545	7.9825	55.34125	8.29875	57.19625	7.6325	59.1925	8.41375
sc_sc-e-t-v	57.97	10.1375	56.72875	9.035	61.4025	9.245	52.415	4.9425	53.27	4.65375	55.1775	4.26625	54.8675	9.3325	55.6325	9.40375	58.38	7.32875	56.68875	13.685	53.9725	17.645	63.165	9.99625	67.095	7.0325	60.54875	4.035	68.545	7.9825	55.34125	8.29875	57.19625	7.6325	59.1925	8.41375
li_r-e-l-n-t-v	56.38125	11.10625	56.625	9.3675	60.985	9.79125	48.2775	4.78875	51.475	3.7925	52.3525	3.935	54.14125	12.18375	56.57375	11.7025	58.90125	9.83375	54.63	12.77	53.68625	17.69875	62.53625	9.6175	66.49	8.87	60.89375	4.33125	68.5225	9.2475	53.995	7.76875	57.1425	6.56125	59.285	7.60875
sc-pt_sc-pt-e-v	56.7475	10.805	56.60875	9.175	61.11625	9.90375	49.85125	5.92	51.93125	4.89375	53.37	5.30125	53.34125	10.985	55.2375	10.43875	57.73375	9.02625	55.3	11.7575	53.485	15.94875	62.59625	9.5025	65.77	8.535	60.01375	4.0025	67.72375	8.80625	55.10625	7.83	58.3575	6.7675	60.43125	7.9875
li_li-e-n-l-v	57.015	10.99	56.57625	9.25375	61.03625	9.835	48.5475	4.51125	50.985	3.72625	51.9625	3.79625	54.5375	11.2275	56.22	10.8325	58.6775	8.89375	56.11375	14.26875	54.15125	17.8925	63.2425	10.525	66.60875	8.3675	60.5575	3.93125	68.2575	9.00125	54.94	7.1625	57.44625	5.865	59.63	7.0175
lt_lt-e-l-n-t-v	57.51875	10.71125	56.57375	8.89	61.06	10.09375	51.405	3.8	52.7925	3.65125	54.1625	3.295	55.7025	11.47	56.18375	11.20625	59.2175	10.12125	56.8125	14.4275	53.95375	16.64	63.26875	12.485	65.29375	8.9675	59.40875	4.56875	66.655	9.8825	55.36375	6.415	57.605	5.3925	59.6625	6.2925
lt_lt-e-l-t-v	57.51875	10.71125	56.57375	8.89	61.06	10.09375	51.405	3.8	52.7925	3.65125	54.1625	3.295	55.7025	11.47	56.18375	11.20625	59.2175	10.12125	56.8125	14.4275	53.95375	16.64	63.26875	12.485	65.29375	8.9675	59.40875	4.56875	66.655	9.8825	55.36375	6.415	57.605	5.3925	59.6625	6.2925
